case,layer,band,input_high_ratio,output_high_ratio,high_ratio_delta,input_boundary_energy_ratio,output_boundary_energy_ratio,boundary_energy_delta
ESO_TJ_60010190651,f0,1,0.8462937998597286,0.8193825413287349,-0.026911258530993742,0.6849022762941075,0.8278747507588029,0.1429724744646954
ESO_TJ_60010190651,f0,2,0.007336275896748554,0.058880504842649076,0.05154422894590052,0.6569138327193486,0.7489514712323179,0.09203763851296931
ESO_TJ_60010190651,f0,3,6.5046304321535025e-06,0.026642277557400236,0.026635772926968084,0.6623113140054823,0.7890011666939473,0.126689852688465
ESO_TJ_60010190651,f1,1,0.9561118344951266,0.9027367082228674,-0.053375126272259155,0.8329155835145472,0.9296177356205144,0.09670215210596722
ESO_TJ_60010190651,f1,2,0.023274098659369073,0.0914983673564749,0.06822426869710582,0.8973923141511875,0.9524935725754295,0.05510125842424207
ESO_TJ_60010190651,f1,3,2.5657003404570942e-05,0.016308893752057935,0.016283236748653365,0.874341093801973,0.885704092026914,0.011362998224941023
ESO_TJ_60011222468,f0,1,0.856480908915404,0.8215383222287627,-0.0349425866866413,0.6794901750950437,0.7941711191654839,0.11468094407044016
ESO_TJ_60011222468,f0,2,0.007603239673946372,0.06004746266138057,0.0524442229874342,0.5883914651824182,0.6518298515904242,0.06343838640800592
ESO_TJ_60011222468,f0,3,6.1295996179878305e-06,0.02322331879501256,0.02321718919539457,0.5945209567813668,0.6813427524784504,0.08682179569708359
ESO_TJ_60011222468,f1,1,0.9594142159466755,0.9275134880799268,-0.03190072786674869,0.884196344434608,0.8242393659034636,-0.059956978531144456
ESO_TJ_60011222468,f1,2,0.019111611070161856,0.07722404249268139,0.05811243142251953,0.8951533440226217,0.8716089125955788,-0.023544431427042878
ESO_TJ_60011222468,f1,3,2.0863091331780043e-05,0.016139925694156926,0.016119062602825147,0.8845372531728863,0.857308871107705,-0.0272283820651813
ESO_TJ_60011433208,f0,1,0.8469463856747721,0.8184025716604094,-0.02854381401436268,0.6713882223865721,0.7510344705961158,0.07964624820954369
ESO_TJ_60011433208,f0,2,0.00803221262523024,0.06031845655679645,0.05228624393156621,0.6523648568679148,0.7270740192741978,0.074709162406283
ESO_TJ_60011433208,f0,3,7.319001519245292e-06,0.021611468005788788,0.021604149004269543,0.6568088803164717,0.7439645212999745,0.08715564098350281
ESO_TJ_60011433208,f1,1,0.9579239977221629,0.9049246886858203,-0.052999309036342535,0.9083722154419126,0.7979233287677643,-0.11044888667414832
ESO_TJ_60011433208,f1,2,0.01951003790660544,0.11170294702904729,0.09219290912244185,0.9424513603583293,0.8896957744940269,-0.0527555858643024
ESO_TJ_60011433208,f1,3,2.052122517560187e-05,0.019434895324005396,0.019414374098829793,0.9000495868157393,0.835944635333376,-0.06410495148236328
ESO_TJ_60011448192,f0,1,0.8394864513658277,0.8173984666094353,-0.022087984756392398,0.6785046471791732,0.7651597632105652,0.08665511603139198
ESO_TJ_60011448192,f0,2,0.007696915675991661,0.05556961970153769,0.047872704025546026,0.6717108274045036,0.7312429604961572,0.059532133091653616
ESO_TJ_60011448192,f0,3,7.308200170167374e-06,0.019701081259662027,0.01969377305949186,0.6886746602051697,0.7596551077506398,0.07098044754547017
ESO_TJ_60011448192,f1,1,0.9588362080762084,0.9361108403731776,-0.022725367703030797,0.8829379254835708,0.8392419444087125,-0.04369598107485828
ESO_TJ_60011448192,f1,2,0.022831506934435163,0.10545740027020857,0.08262589333577341,0.9215830330270128,0.9097052000788999,-0.011877832948112954
ESO_TJ_60011448192,f1,3,2.016686105739149e-05,0.014320026723555543,0.01429985986249815,0.8986402892451502,0.8985831280145267,-5.716123062349254e-05
ESO_TJ_60011558269,f0,1,0.8345948365463943,0.7981541180816556,-0.03644071846473873,0.6895678269659953,0.7906698240756048,0.10110199710960954
ESO_TJ_60011558269,f0,2,0.006534696990864091,0.06639756538391382,0.05986286839304973,0.6295857914474013,0.7022120974360901,0.0726263059886888
