subset_id,model,label,Dice,IoU,Sensitivity,Precision,Specificity,D95,ASSD
7,MedNeXt,1,0.8060464390336997,0.7097024136661318,0.875645471131634,0.7762800896590304,0.9951622005137356,19.716279575324656,4.914550463355186
7,nnUNet,1,0.8546497279205532,0.7656577024947783,0.8566139049143733,0.862083556524647,0.998269218137736,10.08909748062225,2.4633561887752826
7,RWKV_med,1,0.0,0.0,0.0,nan,1.0,nan,nan
7,RWKV_fd,1,0.7652558990457449,0.6578975069445623,0.8645087785354069,0.7265452142376603,0.9929898279397511,22.884934230511483,6.275831993970344
7,RWKV_fd_loss,1,0.770962455082285,0.664539716810554,0.8582432091661121,0.7373901384611988,0.993840964133336,21.776647578039523,5.702240754278653
7,UNet3D,1,0.8477230424746548,0.7559067459954922,0.8619661766636378,0.8427509411336512,0.9983158875385119,8.025453274169394,1.962596337194763
8,BANet,1,0.8359505549556552,0.7312329409573165,0.8567973939667635,0.8343665505088682,0.9969420983014494,11.34307029533537,2.263002503054024
8,BGHNetV4,1,0.8281398074431188,0.7253307461516808,0.8923311018977721,0.7996528548757799,0.9955425481638536,12.348522295996776,2.629982725011312
8,MedNeXt,1,0.821418816286619,0.7147413567502209,0.8989336281137108,0.7793485767751909,0.9949332152619444,16.798693481403753,3.5925758937586294
8,nnUNet,1,0.8403239896527644,0.735468002866037,0.8509604628034882,0.847070319407407,0.9974803027605843,10.695716658124251,2.137552743133431
8,RWKV_med,1,0.0,0.0,0.0,nan,1.0,nan,nan
8,RWKV_fd,1,0.7636119293987745,0.6426750109396197,0.8675650900882754,0.7147766469301153,0.9919014095457876,22.708366710536396,5.0919778636176245
8,RWKV_fd_loss,1,0.7858005137080287,0.6689527154307011,0.8777908209593104,0.7370107128004724,0.9931903277008309,19.888269386840626,4.152613725237664
8,UNet3D,1,0.8418344324227348,0.7363763995375447,0.8606831441533427,0.842468462979793,0.9975140362822174,8.293871390230555,1.878300330224841
9,BANet,1,0.8291428313732704,0.7381578310199185,0.8593275009966227,0.8186515426200218,0.996841515120632,10.68767043889213,3.54518629620017
9,BGHNetV4,1,0.8083267088993515,0.7178566911193739,0.8794105865375123,0.7817743059854987,0.9938083027817928,13.431577652978405,4.014059131050768
