model,case_id,label,Accuracy,Avg. Symmetric Surface Distance,Dice,False Discovery Rate,False Negative Rate,False Omission Rate,False Positive Rate,Hausdorff Distance 95,Jaccard,Negative Predictive Value,Precision,Recall,Total Positives Reference,Total Positives Test,True Negative Rate
MedNeXt,ESO_TJ_60011862918,1,0.9960126876831055,1.3531183164724383,0.9292231645591048,0.09850550172442107,0.04128824926645247,0.0011609508010265869,0.0029403459784224095,9.273618495495704,0.8678028266987068,0.9988390491989734,0.9014944982755789,0.9587117507335475,57256.0,60890.0,0.9970596540215776
MedNeXt,ESO_TJ_60012144508,0,0.9954147338867188,0.08168150551698991,0.9976332304681212,0.0026387600485232587,0.00209463062562687,0.06530850361545665,0.08094195788361391,1.0,0.9952776376795011,0.9346914963845434,0.9973612399514767,0.9979053693743731,2030907.0,2032015.0,0.9190580421163861
MedNeXt,ESO_TJ_60012144508,1,0.9954147338867188,0.7710279529911508,0.9268088474829124,0.0653085036154567,0.08094195788361391,0.002638760048523264,0.00209463062562687,2.8284271247461903,0.8636009021404559,0.9973612399514767,0.9346914963845433,0.9190580421163861,66245.0,65137.0,0.9979053693743731
MedNeXt,ESO_TJ_60012146817,0,0.9933099746704102,0.1181949599904173,0.9965144017565626,0.0029099062595548952,0.004060625833962717,0.09536193686076481,0.07016050729415146,1.0,0.9930530179017242,0.9046380631392352,0.9970900937404451,0.9959393741660373,2013729.0,2011405.0,0.9298394927058485
MedNeXt,ESO_TJ_60012146817,1,0.9933099746704102,1.347688365348578,0.9170656735827866,0.09536193686076477,0.07016050729415146,0.0029099062595548883,0.004060625833962717,5.385164807134504,0.8468340611353712,0.9970900937404451,0.9046380631392352,0.9298394927058485,83423.0,85747.0,0.9959393741660373
MedNeXt,ESO_TJ_60012335724,0,0.9974460601806641,0.06893466040670151,0.9987153281310039,0.00017913108457390248,0.0023877704750240314,0.33492404893130795,0.03632645111024546,0.0,0.9974339527906722,0.6650759510686921,0.9998208689154261,0.997612229524976,2086884.0,2082274.0,0.9636735488897545
MedNeXt,ESO_TJ_60012335724,1,0.9974460601806641,5.888215311012872,0.7870038972401178,0.334924048931308,0.03632645111024546,0.00017913108457388413,0.0023877704750240314,70.91505743261416,0.6488099141039931,0.9998208689154261,0.665075951068692,0.9636735488897545,10268.0,14878.0,0.997612229524976
MedNeXt,ESO_TJ_60012435642,0,0.9978508949279785,0.04107576965008643,0.9989091490854594,0.0008758704234681502,0.0013057389112615114,0.08490150418528541,0.0585645375376348,0.0,0.9978206754890545,0.9150984958147146,0.9991241295765318,0.9986942610887385,2066263.0,2065374.0,0.9414354624623652
MedNeXt,ESO_TJ_60012435642,1,0.9978508949279785,0.667805793829955,0.9280801697863309,0.08490150418528541,0.0585645375376348,0.0008758704234680983,0.0013057389112615114,2.0,0.8658111769434602,0.9991241295765318,0.9150984958147146,0.9414354624623652,30889.0,31778.0,0.9986942610887385
MedNeXt,ESO_TJ_60012502984,0,0.9993572235107422,0.014066583694173181,0.9996769658949795,0.00017783836745333126,0.00046818767760703484,0.08891518019657808,0.03573492583317284,0.0,0.9993541404246287,0.9110848198034219,0.9998221616325467,0.999531812322393,2086770.0,2086164.0,0.9642650741668272
MedNeXt,ESO_TJ_60012502984,1,0.9993572235107422,0.4015330362377379,0.9369209171736078,0.08891518019657807,0.03573492583317284,0.00017783836745337376,0.00046818767760703484,1.2071067811865475,0.8813275816533146,0.9998221616325467,0.9110848198034219,0.9642650741668272,10382.0,10988.0,0.999531812322393
MedNeXt,ESO_TJ_60012511221,0,0.9829545021057129,0.4706809999539749,0.9910902798634642,0.001339119777382658,0.016366402394528246,0.31122756181086064,0.03513581190611126,1.4142135623730951,0.9823379238821685,0.6887724381891394,0.9986608802226173,0.9836335976054718,2021275.0,1990860.0,0.9648641880938887
MedNeXt,ESO_TJ_60012511221,1,0.9829545021057129,3.465509477486057,0.8037701255427653,0.31122756181086064,0.03513581190611126,0.0013391197773826387,0.016366402394528246,21.301405977945077,0.6719194552029222,0.9986608802226173,0.6887724381891394,0.9648641880938887,75877.0,106292.0,0.9836335976054718
MedNeXt,ESO_TJ_60012576709,0,0.9958758354187012,0.06696760099505492,0.9978948280532843,0.002495826097027254,0.001714211691508094,0.0835687661736426,0.11728790304139036,0.0,0.9957985009844303,0.9164312338263574,0.9975041739029727,0.9982857883084919,2053422.0,2055031.0,0.8827120969586096
MedNeXt,ESO_TJ_60012576709,1,0.9958758354187012,0.6695388886197078,0.8992556871789495,0.08356876617364262,0.11728790304139036,0.002495826097027247,0.001714211691508094,2.23606797749979,0.816952380952381,0.9975041739029727,0.9164312338263574,0.8827120969586096,43730.0,42121.0,0.9982857883084919
MedNeXt,ESO_TJ_60012584102,0,0.9961700439453125,0.13763649933135794,0.9980638514410952,0.0034159710123857767,0.00045192480859579387,0.047151277013752456,0.27280765829841225,0.0,0.9961351857367566,0.9528487229862476,0.9965840289876142,0.9995480751914042,2071141.0,2077301.0,0.7271923417015878
MedNeXt,ESO_TJ_60012584102,1,0.9961700439453125,2.8993547594315148,0.824865902053988,0.047151277013752435,0.27280765829841225,0.0034159710123857832,0.00045192480859579387,20.09975124224178,0.7019334248710432,0.9965840289876142,0.9528487229862476,0.7271923417015878,26011.0,19851.0,0.9995480751914042
MedNeXt,ESO_TJ_60012593315,0,0.9972167015075684,0.06151734370975829,0.998565704941155,0.0006723239588323215,0.002195105063031888,0.06994648389822553,0.022482443300495092,0.0,0.9971355183941236,0.9300535161017744,0.9993276760411677,0.9978048949369681,2036349.0,2033246.0,0.9775175566995049
